epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,724.776,1.97809,1.25218,1.30395,0.54404,0.95335,0.80612,0.43959,1.69779,1.26324,1.15588,0.000616379,0.000616379,0.000616379
43,741.973,1.55264,0.9797,1.00807,0.54404,0.95335,0.80612,0.43959,1.69779,1.26324,1.15588,0.000620713,0.000620713,0.000620713
44,757.628,1.81968,1.038,1.13149,0.61353,0.86116,0.80346,0.43059,1.68598,1.16827,1.15517,0.000624551,0.000624551,0.000624551
45,773.225,1.37468,0.98223,1.00688,0.61353,0.86116,0.80346,0.43059,1.68598,1.16827,1.15517,0.000627895,0.000627895,0.000627895
46,789.173,1.46304,0.8248,1.0255,0.81598,0.69392,0.80074,0.4319,1.64688,1.13753,1.14416,0.000630744,0.000630744,0.000630744
47,805.081,1.5684,1.3051,1.06977,0.81598,0.69392,0.80074,0.4319,1.64688,1.13753,1.14416,0.000633098,0.000633098,0.000633098
48,820.589,1.6047,1.10742,1.03563,0.75831,0.70541,0.93482,0.48038,1.68135,1.14449,1.16142,0.000634956,0.000634956,0.000634956
49,835.802,1.77097,0.93057,1.20055,0.75831,0.70541,0.93482,0.48038,1.68135,1.14449,1.16142,0.00063632,0.00063632,0.00063632
50,850.998,1.69752,0.88302,1.1029,0.58167,0.9324,0.92178,0.51881,1.59852,1.09072,1.12354,0.000637189,0.000637189,0.000637189
51,866.115,1.90066,0.96302,1.07791,0.58167,0.9324,0.92178,0.51881,1.59852,1.09072,1.12354,0.00063125,0.00063125,0.00063125
52,881.378,1.42434,0.93413,1.07357,0.72988,0.85798,0.94386,0.51366,1.55839,1.0466,1.11524,0.000618875,0.000618875,0.000618875
53,897.465,1.30504,0.83749,1.02036,0.72988,0.85798,0.94386,0.51366,1.55839,1.0466,1.11524,0.0006065,0.0006065,0.0006065
54,913.459,1.30914,0.88424,1.09512,0.71716,0.80026,0.98069,0.52812,1.54651,1.10178,1.10279,0.000594125,0.000594125,0.000594125
55,929.059,1.69013,1.0026,1.09016,0.71716,0.80026,0.98069,0.52812,1.54651,1.10178,1.10279,0.00058175,0.00058175,0.00058175
56,945.167,1.46072,0.84696,0.99714,0.70564,0.92874,0.97444,0.55223,1.52762,1.08464,1.08534,0.000569375,0.000569375,0.000569375
57,960.667,1.45118,0.91265,0.96267,0.70564,0.92874,0.97444,0.55223,1.52762,1.08464,1.08534,0.000557,0.000557,0.000557
