epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.6103,2.18813,4.06296,1.42652,0.30659,0.31579,0.11338,0.08494,2.0599,5.2199,1.31725,6.25e-05,6.25e-05,6.25e-05
2,145.257,1.99183,2.4596,1.32943,0.6855,0.19489,0.31056,0.15703,1.85184,2.91579,1.26033,0.000136139,0.000136139,0.000136139
3,210.028,1.8616,2.23858,1.2622,0.49749,0.5566,0.34476,0.17656,1.72323,2.71525,1.22722,0.000208293,0.000208293,0.000208293
4,273.702,1.81547,1.80965,1.20651,0.46538,0.64021,0.55427,0.34121,1.7204,2.26069,1.18193,0.000278961,0.000278961,0.000278961
5,341.676,1.82442,1.72749,1.27463,0.44021,0.69741,0.60843,0.33471,1.75419,2.14216,1.1666,0.000348145,0.000348145,0.000348145
6,403.469,1.73147,1.55587,1.19675,0.3962,0.79459,0.6404,0.30256,1.77016,1.91586,1.17187,0.000415844,0.000415844,0.000415844
7,476.467,1.67402,1.38694,1.17096,0.5131,0.77683,0.72791,0.39088,1.77819,1.89574,1.18185,0.000482057,0.000482057,0.000482057
8,541.359,1.79434,1.26953,1.22654,0.699,0.63528,0.76365,0.36805,1.71312,1.79103,1.14703,0.000546786,0.000546786,0.000546786
9,600.152,1.7598,1.29189,1.27339,0.67288,0.49432,0.66195,0.34826,1.8347,1.60195,1.19894,0.00061003,0.00061003,0.00061003
10,661.185,1.75576,1.24969,1.26721,0.74232,0.57435,0.77691,0.37404,1.70764,1.45487,1.14066,0.000671789,0.000671789,0.000671789
11,720.483,1.66687,1.18689,1.14736,0.78116,0.6749,0.81516,0.37426,1.77151,1.55194,1.19557,0.000732063,0.000732063,0.000732063
12,787.072,1.76941,1.17007,1.20366,0.48816,0.7927,0.69241,0.31509,1.78666,1.58695,1.15497,0.000790851,0.000790851,0.000790851
13,856.44,1.74873,1.16115,1.14407,0.36928,0.72047,0.60366,0.2669,1.89008,3.21628,1.23027,0.000848155,0.000848155,0.000848155
14,924.113,1.7727,1.14392,1.23506,0.56256,0.6703,0.61397,0.23859,1.95832,1.64791,1.29877,0.000903974,0.000903974,0.000903974
15,989.161,1.67043,1.09768,1.18011,0.68593,0.62247,0.70055,0.26064,1.99957,1.60046,1.29871,0.000958307,0.000958307,0.000958307
16,1049.79,1.75483,1.15193,1.18076,0.81033,0.48404,0.65709,0.33385,1.86605,1.70164,1.20563,0.00101116,0.00101116,0.00101116
17,1109,1.74855,1.1291,1.20939,0.6707,0.54152,0.69992,0.31925,1.8378,1.46711,1.22181,0.001052,0.001052,0.001052
18,1180.53,1.70258,1.06491,1.19391,0.49682,0.77305,0.72488,0.34798,1.85947,2.03044,1.25093,0.00103962,0.00103962,0.00103962
19,1254.52,1.75397,1.13834,1.24748,0.56692,0.75209,0.78448,0.38283,1.86418,1.51518,1.24721,0.00102725,0.00102725,0.00102725
20,1329.45,1.74497,1.08173,1.19488,0.6185,0.61023,0.72897,0.3048,1.90048,1.1862,1.23735,0.00101488,0.00101488,0.00101488
21,1411,1.76449,1.05297,1.2769,0.58492,0.75905,0.71656,0.34121,1.86364,1.24458,1.19149,0.0010025,0.0010025,0.0010025
22,1495.41,1.7152,0.9687,1.1714,0.65624,0.57227,0.66859,0.31754,1.78629,1.23281,1.1775,0.000990125,0.000990125,0.000990125
23,1580.48,1.61495,0.92652,1.1345,0.54694,0.79487,0.67039,0.32566,1.79114,1.30602,1.20252,0.00097775,0.00097775,0.00097775
24,1667.54,1.63223,1.07037,1.19124,0.57302,0.6562,0.58185,0.24158,1.92018,1.49645,1.29473,0.000965375,0.000965375,0.000965375
25,1754,1.64925,0.9715,1.15406,0.60186,0.56214,0.73117,0.36443,1.80263,1.3464,1.22749,0.000953,0.000953,0.000953
26,1846.64,1.64012,0.99774,1.15085,0.66276,0.67144,0.65259,0.33497,1.81005,1.33866,1.20794,0.000940625,0.000940625,0.000940625
27,1922.95,1.61302,0.94407,1.12969,0.58788,0.6894,0.64163,0.32849,1.72534,1.1854,1.15631,0.00092825,0.00092825,0.00092825
